C,Si,Mn,Ni,Cr,Mo,V,Cu,W,Al,Ti,Nb,N,Co,P,S,TAUST (K),Ms (K)
0.16,0.04,1.4,0,0,0,0.11,0,0,0.04,0,0,0.018,0,0.01,0.01,1173,642
0.17,0.2,1.75,0,0,0,0.1,0,0,0.02,0,0,0.038,0,0.01,0.01,1173,687
0.17,0.3,1.48,0.075,0.035,0.02,0.15,0.04,0,0.028,0,0,0.018,0,0.01,0.01,1593,673
0.19,0.32,1.55,0.57,0,0,0.13,0,0,0.01,0,0,0.017,0,0.01,0.01,1173,715
0.21,0.4,1.52,0.07,0,0,0.13,0,0,0.04,0,0,0.019,0,0.01,0.01,1173,685
0.21,0.4,1.52,0.07,0,0,0.13,0,0,0.04,0,0,0.019,0,0.01,0.01,1573,693
0.09,0.28,0.94,2.54,0.1,0.64,0.04,0.07,0,0.029,0,0,0,0,0.01,0.01,1203,725
0.09,0.57,0.59,0,2,0.56,0.37,0,0.41,0,0.18,0,0,0,0.01,0.01,1303,718
0.09,0.32,1.01,1.49,0.52,0.52,0.05,0.25,0,0.055,0,0,0,0,0.01,0.01,1203,726
0.1,1.09,2,0,1.8,0.65,0.15,0,0,0,0,0,0,0,0.01,0.01,1223,618
0.1,0.22,0.76,0.85,0.68,0.48,0.07,0.21,0,0,0,0,0,0,0.01,0.01,1223,699
0.11,0.26,0.52,4.92,0.56,0.53,0.08,0.1,0,0.04,0,0,0,0,0.01,0.01,1153,652
0.11,0.31,0.85,1.3,0.51,0.48,0.03,0.27,0,0,0.077,0,0,0,0.01,0.01,1203,752
0.12,0.06,0.75,2.62,0.57,0.48,0.05,0.25,0,0.062,0,0,0,0,0.01,0.01,1173,675
0.12,0.29,0.57,1.86,0.47,0.18,0.07,0,0,0,0,0,0,0,0.01,0.01,1200,712
0.12,0.37,0.73,0,5.75,0.55,0.24,0,0.26,0,0.16,0,0,0,0.01,0.01,1243,677
0.12,0.68,0.55,0,2.05,0.55,0.32,0,0.32,0,0.08,0,0,0,0.01,0.01,1303,673
0.13,0.31,1.16,0.01,0.23,0.27,0.05,0.01,0,0.01,0,0,0,0,0.01,0.01,1193,732
0.13,0.29,0.6,0.01,0.98,0.31,0.2,0.02,0,0.01,0,0,0,0,0.01,0.01,1238,716
0.14,0.54,0.53,0,1.43,0.54,0.03,0,0,0,0.004,0,0.002,0,0.01,0.01,1203,673
0.15,0.28,0.57,0.91,0.63,0.61,0.3,0,0,0.032,0,0,0,0,0.01,0.01,1223,697
0.15,0.28,0.57,0.91,0.63,0.61,0.3,0,0,0.032,0,0,0,0,0.01,0.01,1263,687
0.16,0.22,1.12,0.12,0.99,0.02,0.01,0,0,0.015,0,0,0,0,0.01,0.01,1143,673
0.16,0.22,1.12,0.12,0.99,0.02,0.01,0,0,0.015,0,0,0,0,0.01,0.01,1323,669
0.16,0.31,0.5,2.02,1.95,0.03,0.01,0,0,0.03,0,0,0,0,0.01,0.01,1143,726
0.16,0.31,0.5,2.02,1.95,0.03,0.01,0,0,0.03,0,0,0,0,0.01,0.01,1323,714
0.17,0.54,0.84,0.05,0.89,0.4,0.01,0.07,0,0.031,0,0,0.008,0,0.01,0.01,1223,733
0.17,0.54,0.84,0.05,0.89,0.4,0.01,0.07,0,0.031,0,0,0.008,0,0.01,0.01,1573,719
0.17,0.27,0.79,0.45,0.08,0.47,0.02,0.16,0,0,0,0,0,0,0.01,0.01,1183,687
0.14,0.3,0.5,0.03,0.38,0.55,0.27,0.01,0,0.01,0,0,0,0,0.01,0.01,1203,754
0.15,0.59,3.06,0.04,0.14,0.46,0.09,0.09,0.7,0,0,0,0,0,0.01,0.01,1173,618
0.22,0.3,1.45,0.01,0.98,0.45,0.03,0.01,0,0.044,0,0,0,0,0.01,0.01,1173,618
0.23,0.3,0.53,0.3,1.55,0.29,0.21,0.11,0,0,0,0,0,0,0.01,0.01,1213,619
0.23,0.22,0.22,3.6,1.7,0.53,0.12,0,0,0,0,0,0,0,0.01,0.01,1173,599
0.26,0.3,1.67,0.03,0.05,0.11,0.06,0,0,0.013,0,0,0,0,0.01,0.01,1193,655
0.08,0,1.05,2,0.2,0.75,0.25,0,0,0,0,0,0,0,0.01,0.01,1365,719
0.35,0.47,1.62,0.1,0.1,0.01,0.11,0.14,0,0.02,0,0,0,0,0.01,0.01,1163,586
0.38,0.3,1.63,0.01,0.02,0.12,0.07,0.01,0,0.021,0,0,0,0,0.01,0.01,1193,644
0.45,1.45,1.34,0,0,0,0.1,0,0,0,0,0,0,0,0.01,0.01,1173,560
0.28,0.11,0.36,0.04,2.57,0.03,0.35,0,8.88,0,0,0,0,0,0.01,0.01,1393,691
0.23,0.3,0.65,0.05,0.12,0.5,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1163,695
0.23,0.3,0.65,0.05,0.12,0.5,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1323,697
0.3,0.34,1.91,0,0,0.67,0.07,0,0,0,0,0,0,0,0.01,0.01,1173,621
0.35,0.28,1.51,0,0,1.29,0.21,0.1,0,0,0,0,0,0,0.01,0.01,1173,616
0.31,0.3,0.65,0.05,0.12,0.5,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1203,663
0.33,0.32,2.16,2.02,0,0.64,0.14,0,0,0,0,0,0,0,0.01,0.01,1173,549
0.58,0.3,0.65,0.05,0.12,0.5,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1103,566
0.58,0.3,0.65,0.05,0.12,0.5,0.03,0.08,0,0.051,0,0,0,0,0.01,0.01,1203,558
0.36,0.29,0.69,0.08,1.09,0.07,0.01,0.12,0,0,0,0,0,0,0.01,0.01,1123,648
0.38,1.05,1.14,0,0.23,0,0.02,0,0,0,0,0,0,0,0.01,0.01,1133,623
0.38,1.05,1.14,0,0.23,0,0.02,0,0,0,0,0,0,0,0.01,0.01,1133,609
0.38,1.05,1.14,0,0.23,0,0.02,0,0,0,0,0,0,0,0.01,0.01,1323,603
0.38,0.18,0.87,0.01,1.54,0.63,0.27,0,0,0,0,0,0,0,0.01,0.01,1243,549
0.39,0.94,0.48,0.04,5.53,0.87,0.48,0,0,0,0,0,0,0,0.01,0.01,1303,547
0.39,0.94,0.48,0.04,5.53,0.87,0.48,0,0,0,0,0,0,0,0.01,0.01,1373,535
0.4,1,0.6,0,5,1.3,0.4,0,0,0,0,0,0,0,0.01,0.01,1273,598
0.4,1,0.6,0,5,1.3,0.4,0,0,0,0,0,0,0,0.01,0.01,1253,627
0.43,0.32,0.9,0,0.3,0,0.1,0,0,0.015,0,0.03,0.015,0,0.01,0.01,1273,696
0.43,0.32,0.9,0,0.3,0,0.1,0,0,0.015,0,0.03,0.015,0,0.01,0.01,1373,687
0.43,0.28,1.67,0.11,0.32,0.03,0.1,0.06,0,0,0,0,0,0,0.01,0.01,1143,589
0.43,0.28,1.67,0.11,0.32,0.03,0.1,0.06,0,0,0,0,0,0,0.01,0.01,1323,578
0.43,0.28,1.67,0.11,0.32,0.03,0.1,0.06,0,0,0,0,0,0,0.01,0.01,1143,573
0.43,0.27,0.75,0.11,1.31,0.72,0.23,0,0,0,0,0,0,0,0.01,0.01,1243,593
0.43,0.27,0.75,0.11,1.31,0.72,0.23,0,0,0,0,0,0,0,0.01,0.01,1323,584
0.44,0.22,0.66,0,0.15,0,0.02,0,0,0,0,0,0,0,0.01,0.01,1153,623
0.44,0.22,0.66,0,0.15,0,0.02,0,0,0,0,0,0,0,0.01,0.01,1323,617
0.44,0.26,0.75,0.17,1.7,0.08,0.09,0.18,0,0,0,0,0,0,0.01,0.01,1123,573
0.44,0.26,0.75,0.17,1.7,0.08,0.09,0.18,0,0,0,0,0,0,0.01,0.01,1323,570
0.45,0.35,1.04,0.05,1.22,0.05,0.13,0.16,0,0,0,0,0,0,0.01,0.01,1153,565
0.47,0.35,1.04,0.05,1.2,0.05,0.12,0.16,0,0,0,0,0,0,0.01,0.01,1153,564
0.47,0.35,1.04,0.05,1.2,0.05,0.12,0.16,0,0,0,0,0,0,0.01,0.01,1323,570
